season_name,club_name,player_name,position,player_image,Appearances,Clean_sheets,Goals,Assists 
2015/16,Southampton,Graziano Pell�,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p17784.png,30,0,11,6
2015/16,Southampton,Graziano Pell�,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p17784.png,30,0,11,6
2019/20,Tottenham Hotspur,Son Heung-Min,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p85971.png,30,0,11,10
2019/20,Tottenham Hotspur,Harry Kane,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p78830.png,29,0,18,2
2016/17,Tottenham Hotspur,Hugo Lloris,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p37915.png,34,15,0,0
2016/17,Tottenham Hotspur,Danny Rose,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p38290.png,18,7,2,0
2016/17,Tottenham Hotspur,Toby Alderweireld,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/p55605.png,30,14,1,0
2016/17,Tottenham Hotspur,Dele Alli,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p108823.png,37,0,18,7
2016/17,Tottenham Hotspur,Christian Eriksen,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p80607.png,36,0,8,15
2016/17,Tottenham Hotspur,Filip Lesniak,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,1,0,0,1
2016/17,Tottenham Hotspur,Son Heung-Min,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p85971.png,34,0,14,6
2016/17,Tottenham Hotspur,Harry Kane,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p78830.png,30,0,29,7
2015/16,Tottenham Hotspur,Hugo Lloris,Goalkeeper,https://resources.premierleague.com/premierleague/photos/players/110x140/p37915.png,37,13,0,0
2015/16,Tottenham Hotspur,Dele Alli,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p108823.png,33,0,10,9
2015/16,Tottenham Hotspur,Christian Eriksen,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/p80607.png,35,0,6,13
2015/16,Tottenham Hotspur,Harry Kane,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p78830.png,38,0,25,1
2015/16,West Bromwich Albion,Joleon Lescott,Defender,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,2,1,0,0
2019/20,West Ham United,Michail Antonio,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p57531.png,24,0,10,3
2019/20,West Ham United,Chicharito,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p43020.png,2,0,1,0
2018/19,West Ham United,Marko Arnautovic,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p41464.png,28,0,10,4
2018/19,West Ham United,Marko Arnautovic,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p41464.png,28,0,10,4
2017/18,West Ham United,Marko Arnautovic,Forward,https://resources.premierleague.com/premierleague/photos/players/110x140/p41464.png,31,0,11,6
2015/16,West Ham United,Dimitri Payet,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,30,0,9,12
2015/16,West Ham United,Dimitri Payet,Midfielder,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,30,0,9,12
